Survey,id,Municipality,Code_ine,Province,CCAA,Reindustrialization,Renaturalization,Preservation,WeightAsPontes,WeightSpain,filter_$,NearestPowerPlantName,PowerPlantCluster,Dist_to_nearest_plant
1,865,Gijón,33024,Asturias,2,3,8,0,1.78902598215294,1.78509119626096,0,Power plant Aboño,Asturias,6.13271641890168
1,864,Huesca,22125,Huesca,7,5,5,7,2.51990453283326,2.51436225177986,0,Power plant Escatrón,Teruel,92.4409654347745
1,863,Almendralejo,6011,Badajoz,11,8,8,8,1.09540293171607,1.09299370119357,0,Power plant Puente Nuevo,Córdoba,144.92658207169
1,861,Daganzo de Arriba,28053,Madrid,8,0,0,8,1.34271693364885,1.33976376041372,0,Power plant de Puertollano,Ciudad Real,219.992696055285
1,860,Ourense,32054,Ourense,1,5,6,9,1.81086486611838,1.8068820477588,0,Power plant Meirama,Coruna,100.31849672276
1,859,Castelló de Rugat,46090,Valencia/València,13,5,5,5,.749434257506473,.747785950901192,0,Power plant de Escucha,Teruel,217.957946128064
1,858,Madrid,28079,Madrid,8,7,8,7,.95535459746218,.953253389414096,0,Power plant de Puertollano,Ciudad Real,204.990347131533
1,857,Pamplona/Iruña,31201,Navarra,5,4,10,8,1.99172946252947,1.98734885035951,0,Power plant Escatrón,Teruel,201.290922367584
1,856,Polinyà de Xúquer,46197,Valencia/València,13,5,5,0,.749434257506473,.747785950901192,0,Power plant de Escucha,Teruel,184.200890003438
1,855,Barcelona,8019,Barcelona,12, , ,10,.844412549663495,.84255534768847,0,Power plant Cercs,Lleida,89.6468182298583
1,854,Cintruénigo,31072,Navarra,5,6,8,9,.749434257506473,.747785950901192,0,Power plant de Escucha,Teruel,161.710856762906
1,853,Tapia de Casariego,33070,Asturias,2,4,7,7,.749434257506473,.747785950901192,0,Power plant Narcea,León,40.3206675679912
1,853,Tapia de Casariego,33070,Asturias,2,4,7,7,.749434257506473,.747785950901192,0,Power plant Narcea,León,40.3206675679912
1,852,Lora del Río,41055,Sevilla,15,0,0,0,1.53763022979437,1.5342483640218,0,Power plant Puente Nuevo,Córdoba,70.3151294350672
1,851,Santa Pola,3121,Alicante/Alacant,13,8,10,9,1.2736570830515,1.27085580013465,0,Power plant Carboneras,Almería,178.843616901112
1,850,Melide,15046,Coruna,1,2,6,9,.74394357293993,.742307342552874,1,Power plant Meirama,Coruna,40.0676752321623
1,849,Jerez de los Caballeros,6070,Badajoz,11,10,5,10,.749434257506473,.747785950901192,0,Power plant Puente Nuevo,Córdoba,165.104624573491
1,848,Madrid,28079,Madrid,8,4,10,10,.844412549663495,.84255534768847,0,Power plant de Puertollano,Ciudad Real,204.990347131533
1,847,San Adrián,31215,Navarra,5,6,6,7,.749434257506473,.747785950901192,0,Power plant de Escucha,Teruel,193.728345495483
1,845,"Pobla de Cérvoles, La",25169,LLeida,12,10,10,10,.301935334274582,.301271257338056,0,Power plant Escatrón,Teruel,100.756706262694
1,844,"Pastoriza, A",27044,Lugo,1,10,0,10,.74394357293993,.742307342552874,0, Power plant As Pontes,Coruna,43.9282245392807
1,842,"Canonja, La",43907,Tarragona,12,10,2,10,.749434257506473,.747785950901192,0,Power plant Cercs,Lleida,130.661441800618
1,841,Pamplona/Iruña,31201,Navarra,5,3,6,6,1.57368403519907,1.57022287264363,0,Power plant Escatrón,Teruel,201.290922367584
1,839,Silleda,36052,Pontevedra,1,8,10,6,.749434257506473,.747785950901192,0,Power plant Meirama,Coruna,53.7763471267671
1,838,Sangüesa/Zangoza,31216,Navarra,5,3,10,10,.694790496982406,.693262373929594,0,Power plant Escatrón,Teruel,161.689457356442
1,837,Villabona,20075,Guipúzcoa,4,7,5,5,.749434257506473,.747785950901192,0,Power plant Escatrón,Teruel,252.237455735634
1,836,"Coruña, A",15030,Coruna,1,10,10,10,1.42673012691829,1.42359217496507,1,Power plant Meirama,Coruna,19.8029665718876
1,835,Usurbil,20073,Guipúzcoa,4,2,0,4,.676495224311756,.675007339903611,0,Power plant Escatrón,Teruel,262.254264409995
1,834,Lleida,25120,Lleida,12,0,5,5,1.42673012691829,1.42359217496507,0,Power plant Escatrón,Teruel,83.5619494433861
1,833,Batea,43022,Tarragona,12,6,5,4,.289349300547048,.288712905348206,0,Power plant Escatrón,Teruel,55.7494329885277
1,832,Albalate del Arzobispo,44008,Teruel,7,0,0,8,.325479258324308,.324763398852974,0,Power plant Andorra,Teruel,18.1038005360118
1,831,Coirós,15027,Coruna,1,5,8,5,.301935334274582,.301271257338056,1,Power plant Meirama,Coruna,23.6487268732815
